local_id,effect_name,category,applies_to,price,bonus_accuracy,bonus_def,bonus_mdef,bonus_init,multiattack_count,description,source_book
50,眩晕抗性,防御性效果,armor/shield,500,,,,,,你对眩晕免疫,核心规则
51,激怒抗性,防御性效果,armor/shield,750,,,,,,你对激怒免疫,核心规则
52,中毒抗性,防御性效果,armor/shield,750,,,,,,你对中毒免疫,核心规则
53,抵抗-雷,防御性效果,armor/shield,700,,,,,,你对雷系伤害获得抵抗相性,核心规则
54,抵抗-风,防御性效果,armor/shield,700,,,,,,你对风系伤害获得抵抗相性,核心规则
55,抵抗-冰,防御性效果,armor/shield,700,,,,,,你对冰系伤害获得抵抗相性,核心规则
56,抵抗-火,防御性效果,armor/shield,700,,,,,,你对火系伤害获得抵抗相性,核心规则
57,抵抗-土,防御性效果,armor/shield,700,,,,,,你对土系伤害获得抵抗相性,核心规则
58,抵抗-毒,防御性效果,armor/shield,700,,,,,,你对毒系伤害获得抵抗相性,核心规则
59,抵抗-光,防御性效果,armor/shield,700,,,,,,你对光系伤害获得抵抗相性,核心规则
60,抵抗-暗,防御性效果,armor/shield,700,,,,,,你对暗系伤害获得抵抗相性,核心规则
61,双重抵抗,防御性效果,armor/shield,1000,,,,,,你对两种伤害类型（非物理伤害）获得抵抗相性,核心规则
62,断剑,防御性效果,armor/shield,1000,,,,,,你对物理伤害获得抵抗相性,核心规则
63,免疫-雷,防御性效果,armor/shield,1500,,,,,,你对雷系伤害免疫,核心规则
64,免疫-风,防御性效果,armor/shield,1500,,,,,,你对风系伤害免疫,核心规则
65,免疫-冰,防御性效果,armor/shield,1500,,,,,,你对冰系伤害免疫,核心规则
66,免疫-火,防御性效果,armor/shield,1500,,,,,,你对火系伤害免疫,核心规则
67,免疫-土,防御性效果,armor/shield,1500,,,,,,你对土系伤害免疫,核心规则
68,免疫-毒,防御性效果,armor/shield,1500,,,,,,你对毒系伤害免疫,核心规则
69,免疫-光,防御性效果,armor/shield,1500,,,,,,你对光系伤害免疫,核心规则
70,免疫-暗,防御性效果,armor/shield,1500,,,,,,你对暗系伤害免疫,核心规则
71,完美体魄,防御性效果,armor/shield,2000,,,,,,你对所有异常状态免疫,核心规则
72,先攻强化,强化型效果,armor/shield,500,,,,4,,先攻+4,核心规则
73,命中强化,强化型效果,armor/shield,1000,1,,,,,命中检定+1,核心规则
74,魔力强化,强化型效果,armor/shield,1000,,,,,,施法检定+1,核心规则
75,生命强化,强化型效果,armor/shield,1000,,,,,,自身回血时额外恢复5HP,核心规则
76,治疗强化,强化型效果,armor/shield,1500,,,,,,你释放的恢复HP的法术会额外恢复5HP,核心规则
77,法力强化,强化型效果,armor/shield,2000,,,,,,你释放的法术会造成5点额外伤害,核心规则
78,武器强化-近战,强化型效果,armor/shield,2000,,,,,,你使用近战武器攻击时，造成5点额外伤害,核心规则
79,武器强化-远程,强化型效果,armor/shield,2000,,,,,,你使用远程武器攻击时，造成5点额外伤害,核心规则
80,迟缓抗性,防御性效果,accessory,500,,,,,,你对迟缓免疫,核心规则
81,动摇抗性,防御性效果,accessory,500,,,,,,你对动摇免疫,核心规则
82,虚弱抗性,防御性效果,accessory,500,,,,,,你对虚弱免疫,核心规则
83,眩晕抗性,防御性效果,accessory,500,,,,,,你对眩晕免疫,核心规则
84,激怒抗性,防御性效果,accessory,750,,,,,,你对激怒免疫,核心规则
85,中毒抗性,防御性效果,accessory,750,,,,,,你对中毒免疫,核心规则
86,抵抗-雷,防御性效果,accessory,700,,,,,,你对雷系伤害获得抵抗相性,核心规则
87,抵抗-风,防御性效果,accessory,700,,,,,,你对风系伤害获得抵抗相性,核心规则
88,抵抗-冰,防御性效果,accessory,700,,,,,,你对冰系伤害获得抵抗相性,核心规则
89,抵抗-火,防御性效果,accessory,700,,,,,,你对火系伤害获得抵抗相性,核心规则
90,抵抗-土,防御性效果,accessory,700,,,,,,你对土系伤害获得抵抗相性,核心规则
91,抵抗-毒,防御性效果,accessory,700,,,,,,你对毒系伤害获得抵抗相性,核心规则
92,抵抗-光,防御性效果,accessory,700,,,,,,你对光系伤害获得抵抗相性,核心规则
93,抵抗-暗,防御性效果,accessory,700,,,,,,你对暗系伤害获得抵抗相性,核心规则
94,护身符,防御性效果,accessory,800,,1,,,,你的魔防+1,核心规则
95,坚守,防御性效果,accessory,800,,,1,,,你的物防+1,核心规则
96,双重抵抗,防御性效果,accessory,1000,,,,,,你对两种伤害类型（非物理伤害）获得抵抗相性,核心规则
97,断剑,防御性效果,accessory,1000,,,,,,你对物理伤害获得抵抗相性,核心规则
98,免疫-雷,防御性效果,accessory,1500,,,,,,你对雷系伤害免疫,核心规则
99,免疫-风,防御性效果,accessory,1500,,,,,,你对风系伤害免疫,核心规则
100,免疫-冰,防御性效果,accessory,1500,,,,,,你对冰系伤害免疫,核心规则
101,免疫-火,防御性效果,accessory,1500,,,,,,你对火系伤害免疫,核心规则
102,免疫-土,防御性效果,accessory,1500,,,,,,你对土系伤害免疫,核心规则
103,免疫-毒,防御性效果,accessory,1500,,,,,,你对毒系伤害免疫,核心规则
104,免疫-光,防御性效果,accessory,1500,,,,,,你对光系伤害免疫,核心规则
105,免疫-暗,防御性效果,accessory,1500,,,,,,你对暗系伤害免疫,核心规则
106,全能护盾,防御性效果,accessory,2000,,1,1,,,你的物防和魔防+1,核心规则
107,完美体魄,防御性效果,accessory,2000,,,,,,你对所有异常状态免疫,核心规则
108,改变伤害-雷,强化型效果,accessory,300,,,,,,你的武器、法术和技能造成的所有伤害都变成雷属性,核心规则
109,改变伤害-风,强化型效果,accessory,300,,,,,,你的武器、法术和技能造成的所有伤害都变成风属性,核心规则
110,改变伤害-冰,强化型效果,accessory,300,,,,,,你的武器、法术和技能造成的所有伤害都变成冰属性,核心规则
111,改变伤害-火,强化型效果,accessory,300,,,,,,你的武器、法术和技能造成的所有伤害都变成火属性,核心规则
112,改变伤害-土,强化型效果,accessory,300,,,,,,你的武器、法术和技能造成的所有伤害都变成土属性,核心规则
113,改变伤害-毒,强化型效果,accessory,300,,,,,,你的武器、法术和技能造成的所有伤害都变成毒属性,核心规则
114,改变伤害-光,强化型效果,accessory,300,,,,,,你的武器、法术和技能造成的所有伤害都变成光属性,核心规则
115,改变伤害-暗,强化型效果,accessory,300,,,,,,你的武器、法术和技能造成的所有伤害都变成暗属性,核心规则
116,先攻强化,强化型效果,accessory,500,,,,4,,先攻+4,核心规则
117,命中强化,强化型效果,accessory,1000,1,,,,,命中检定+1,核心规则
118,魔力强化,强化型效果,accessory,1000,,,,,,施法检定+1,核心规则
119,生命强化,强化型效果,accessory,1000,,,,,,自身回血时额外恢复5HP,核心规则
120,治疗强化,强化型效果,accessory,1500,,,,,,你释放的恢复HP的法术会额外恢复5HP,核心规则
121,法力强化,强化型效果,accessory,2000,,,,,,你释放的法术会造成5点额外伤害,核心规则
122,武器强化-近战,强化型效果,accessory,2000,,,,,,你使用近战武器攻击时，造成5点额外伤害,核心规则
123,武器强化-远程,强化型效果,accessory,2000,,,,,,你使用远程武器攻击时，造成5点额外伤害,核心规则
